,accuracy,balanced accuracy,adj_balanced_accuracy,recall,precision,f1_score,target,country,sampling,feat_version,algorithm,best_random_state
mean,0.6910000000000001,0.6958,0.3912,0.6652,0.7676000000000001,0.7124,fol_ai,ETH,undersampling,3.2,xgboost,146
std,0.010124228365658258,0.009576011695899254,0.01893937696968937,0.018417383093154157,0.01325895923517379,0.011480418110852942,fol_ai,ETH,undersampling,3.2,xgboost,146
