,accuracy,balanced accuracy,adj_balanced_accuracy,recall,precision,f1_score,target,country,sampling,feat_version,algorithm,best_random_state
mean,0.6975999999999999,0.6896000000000001,0.37939999999999996,0.659,0.5812,0.6175999999999999,zn_ai,ETH,undersampling,3.2,xgboost,0
std,0.01008959860450356,0.009607288899580312,0.01909973821810133,0.016015617378046982,0.01245792920191796,0.010454664030948111,zn_ai,ETH,undersampling,3.2,xgboost,0
